title,所在地,備考,lat,lng,,,,
わかば児童遊園,東京都品川区戸越1-29-21,品川区戸越1-29-21,35.6156815,139.7218039,,,,
戸越ひだまり広場,東京都品川区戸越1-4-11,品川区戸越1-4-11,35.6170057,139.7193429,,,,
戸越2丁目広場,東京都品川区戸越2-1-9,品川区戸越2-1-9,35.6144983,139.718529,,,,
荏原一丁目ふれあい広場,東京都品川区荏原1-2-12,品川区荏原1-2-12,35.6213088,139.7131832,,,,
コンテナふ頭公園,東京都品川区八潮2-9-14,品川区八潮2-9-14,35.6028869,139.7617793,,,,
京浜運河緑道公園,東京都品川区八潮1,品川区八潮1、八潮5,35.5970287,139.7489966,,,,
戸越体育館,東京都品川区豊町2-1-17,品川区豊町2-1-17,35.6109014,139.7206443,,,,
コナミスポーツクラブ,東京都品川区東品川4-10-1,品川区東品川4-10-1,35.6079875,139.7459078,,,,
スクエア荏原(荏原平塚総合区民会館),東京都品川区荏原4-5-28,電話:5788-5321交通:東急目黒線武蔵小山駅または東急池上線戸越銀座駅より徒歩10分開館時間:午前9時～午後9時30分休館日:年末年始(12月29日～1月3日),35.6156632,139.7075936,,,,
(財)品川区スポーツ協会,東京都品川区東五反田2-11-2,品川区東五反田2-11-2　総合体育館内,35.6245285,139.7279827,,,,
戸越台温水プール,東京都品川区戸越1-15-23,併設戸越台中学校,35.6157971,139.7174902,,,,
しながわ区民公園屋外プール,東京都品川区勝島3-2-2,野球場、庭球場ディキャンプ場あり,35.5933913,139.7397782,,,,
しながわ区民公園,東京都品川区勝島3-2-2,品川区南大井2-3-17品川区勝島3-2-2,35.5925753,139.7388816,,,,
八潮公園多目的広場,東京都品川区八潮5-11-16,,35.6005626,139.7529717,,,,
鮫洲運動公園,東京都品川区東大井1-4-11,品川区東大井1-4-11,35.6062665,139.7448001,,,,
ねむの木の庭,東京都品川区東五反田5丁目19-5,品川区東五反田5丁目19-5,35.6303573,139.7223487,,,,
むつみ児童遊園,東京都品川区南品川5-2-17,南品川5-2-17,35.6119612,139.7408933,,,,
大崎5丁目児童遊園,東京都品川区大崎5-8-5,大崎5-8-5,35.6220026,139.7254599,,,,
大崎橋広場,東京都品川区西五反田1-10-2,西五反田1-10-2,35.6248398,139.7238,,,,
にしよん広場,東京都品川区西五反田4-10-6,西五反田4-10-6,35.6258311,139.7107814,,,,
